tweet_id	text	created_at	retweet_count	user_id	screen_name	#followers	#followings	#statuses	keywords	hashtags	urls
786643866774597632	"RT @Samfr: It's been axed by exam boards because of low take up. Nothing to do with Gove or any non-existent ""cull"". https://t.co/41DjGrL0M7"	2016-10-13 19:04:47	55	748453510048518145	Michael Gove	16056	525	124	[]	[]	['https://twitter.com/greg_jenner/status/786297032814256129']
785427359902171141	@NickBolesMP @ConHome thought-provoking piece on a complex subject - I agree the critical issue is democratic control over numbers	2016-10-10 10:30:49	1	748453510048518145	Michael Gove	16056	525	124	[]	[]	[]
785426458911117313	RT @MrJohnNicolson: On #WorldMentalHealthDay let's resolve not to misuse the word schizophrenic again. Or use it as an insult. #TimeToChang…	2016-10-10 10:27:14	20	748453510048518145	Michael Gove	16056	525	124	[]	['WorldMentalHealthDay']	[]
785398240803979264	RT @NickyMorgan01: This #WMHD we want to highlight the power of sport to promote good mental health &amp; show #SportMinds https://t.co/TmMkX7Y…	2016-10-10 08:35:07	7	748453510048518145	Michael Gove	16056	525	124	[]	['WMHD', 'SportMinds']	[]
785215453580955648	RT @BorisJohnson: Spoke to Saudi Foreign Minister Al Jubeir earlier. Raised concerns about attack in #Sanaa #Yemen, vital urgent investigat…	2016-10-09 20:28:47	232	748453510048518145	Michael Gove	16056	525	124	[]	['Sanaa', 'Yemen']	[]
785215229424701445	RT @NickyMorgan01: Please RT - a great way to mark World Mental Health Day 2016 https://t.co/oDOLZU0jVE	2016-10-09 20:27:53	14	748453510048518145	Michael Gove	16056	525	124	[]	[]	['https://twitter.com/LboroWellbeing/status/785213622628876288']
784740561827860481	Munira Mirza very very good on #bbcaq - lucid, authoritative and persuasive	2016-10-08 13:01:44	3	748453510048518145	Michael Gove	16056	525	124	[]	['bbcaq']	[]
784490550032556032	RT @MrJohnNicolson: Delighted to present the stripes tonight at 1st Lenzie #BoysBrigade Really good fun. I've got some work to do on my sal…	2016-10-07 20:28:16	8	748453510048518145	Michael Gove	16056	525	124	[]	['BoysBrigade']	[]
784471276098289664	RT @arthurbrooks: I’ve said it many times. Human dignity and opportunity – not material riches – are the true fruits of capitalism. https:/…	2016-10-07 19:11:41	49	748453510048518145	Michael Gove	16056	525	124	[]	[]	[]
784471267671941120	"RT @arthurbrooks: ""How a simple strategy could employ thousands of ex-offenders” https://t.co/7hymQvNntV"	2016-10-07 19:11:39	5	748453510048518145	Michael Gove	16056	525	124	[]	[]	['http://www.aei.org/publication/simple-strategy-employ-thousands-of-ex-offenders/']
